ID;Kategorija;Ocjena_posjetitelja;Parking_mjesto;Bazen_fitness_centar;Pet_friendly;Broj_odraslih;Broj_djece;Broj_iznajmljenih_soba;Udaljenost_od_centra_grada (km);Lokacija;Cijena_smjestaja_za_jednu_noc (KM);Sadrzaj_za_djecu
1;apartman;8,7;ima parking;ne posjeduje bazen i fitness centar;ne;2;1;1;2,01;FBIH;156;da
2;apartman;9;ima parking;ne posjeduje bazen i fitness centar;ne;2;2;2;0,488389289;FBIH;170;da
3;apartman;9,2;nema parking;ne posjeduje bazen i fitness centar;da;1;1;1;2;FBIH;127;da
4;apartman;6,6;ima parking;ne posjeduje bazen i fitness centar;ne;1;1;1;2,56;RS;117;da
5;apartman;8,4;nema parking;ne posjeduje bazen i fitness centar;da;2;0;1;4,54;RS;88;da
6;apartman;8,3;ima parking;ne posjeduje bazen i fitness centar;ne;2;0;1;5;RS;68;ne
7;apartman;9,5;ima parking;ne posjeduje bazen i fitness centar;ne;1;0;1;4,54;FBIH;88;da
8;apartman;6;nema parking;ne posjeduje bazen i fitness centar;da;2;0;1;5;RS;68;da
9;apartman;5,2;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;5,54;RS;59;ne
10;apartman;9,3;ima parking;ima bazen i fitness centar;da;2;3;3;0,34;FBIH;254;da
11;apartman;8,6;ima parking;ne posjeduje bazen i fitness centar;ne;2;0;1;2;RS;127;ne
12;apartman;5,7;ima parking;ne posjeduje bazen i fitness centar;ne;2;1;1;2,182707104;RS;91;da
13;apartman;7,7;ima parking;ne posjeduje bazen i fitness centar;ne;3;0;2;2,87;FBIH;108;da
14;apartman;9,7;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;4;RS;98;da
15;apartman;8,7;ima parking;ne posjeduje bazen i fitness centar;ne;1;1;1;4,54;RS;88;ne
16;apartman;7,4;ima parking;ne posjeduje bazen i fitness centar;ne;1;1;1;3,7;FBIH;104;da
17;apartman;5,5;ima parking;ne posjeduje bazen i fitness centar;ne;1;0;1;4,67;RS;74;ne
18;apartman;9,1;ima parking;ima bazen i fitness centar;da;2;0;1;0,34;FBIH;196;da
19;apartman;8,4;nema parking;ne posjeduje bazen i fitness centar;da;2;0;1;4;RS;98;ne
20;apartman;7;ima parking;ne posjeduje bazen i fitness centar;da;1;1;1;4,66;RS;80;ne
21;apartman;9,4;ima parking;ne posjeduje bazen i fitness centar;ne;1;0;1;3,9;RS;100;da
22;apartman;7,7;ima parking;ne posjeduje bazen i fitness centar;da;2;1;2;3,9;FBIH;100;da
23;apartman;9,3;ima parking;ne posjeduje bazen i fitness centar;ne;2;0;1;4;FBIH;98;ne
24;hotel;8,1;ima parking;ima bazen i fitness centar;da;1;0;1;0,49;FBIH;170;da
25;apartman;6,7;ima parking;ne posjeduje bazen i fitness centar;ne;2;2;2;1,01;FBIH;162;da
26;apartman;9,3;ima parking;ne posjeduje bazen i fitness centar;da;2;1;1;2,5;FBIH;139;da
27;apartman;6,7;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;4,2;RS;78;ne
28;apartman;7;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;4,22;RS;74;ne
29;apartman;7,2;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;4,2;RS;78;da
30;apartman;9,1;ima parking;ima bazen i fitness centar;ne;1;1;1;2,89;FBIH;106;da
31;apartman;8,8;ima parking;ne posjeduje bazen i fitness centar;ne;2;1;1;2,87;FBIH;108;da
32;apartman;8,5;ima parking;ne posjeduje bazen i fitness centar;da;2;0;1;3,9;RS;100;da
33;apartman;6;nema parking;ne posjeduje bazen i fitness centar;ne;1;0;1;5,34;FBIH;55;da
34;apartman;9,4;ima parking;ne posjeduje bazen i fitness centar;da;1;0;1;4,56;RS;80;da
35;apartman;9,1;ima parking;ima bazen i fitness centar;da;2;2;2;2,45;RS;140;da
36;apartman;8;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;4,95;RS;70;ne
37;apartman;9,4;ima parking;ima bazen i fitness centar;da;3;0;1;1,01;FBIH;162;da
38;apartman;8,8;ima parking;ne posjeduje bazen i fitness centar;da;2;0;1;2;FBIH;127;da
39;apartman;8,7;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;3,7;RS;104;da
40;apartman;9,7;ima parking;ima bazen i fitness centar;ne;2;0;1;2,56;RS;117;da
41;apartman;8,8;ima parking;ima bazen i fitness centar;da;2;1;2;2,01;FBIH;156;da
42;apartman;9,1;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;3,9;FBIH;100;da
43;apartman;5,6;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;4,2;RS;78;ne
44;apartman;6,8;ima parking;ne posjeduje bazen i fitness centar;da;2;0;1;3,87;RS;111;da
45;apartman;9,5;ima parking;ne posjeduje bazen i fitness centar;ne;3;0;1;4,54;FBIH;88;ne
46;apartman;8,1;ima parking;ne posjeduje bazen i fitness centar;ne;2;0;1;3,87;RS;94;ne
47;apartman;9,7;ima parking;ne posjeduje bazen i fitness centar;da;2;1;1;3,89;FBIH;102;ne
48;apartman;8;ima parking;ima bazen i fitness centar;da;3;0;2;3,55;FBIH;164;da
49;apartman;9,6;ima parking;ne posjeduje bazen i fitness centar;ne;2;0;1;3,89;RS;84;ne
50;hotel;9;ima parking;ima bazen i fitness centar;da;1;0;1;0,23;FBIH;227;da
51;apartman;6;ima parking;ne posjeduje bazen i fitness centar;ne;3;0;1;5;RS;68;ne
52;apartman;8,2;ima parking;ima bazen i fitness centar;da;2;0;1;2,56;FBIH;117;da
53;apartman;8,5;ima parking;ne posjeduje bazen i fitness centar;da;2;2;1;5,54;RS;59;ne
54;apartman;9,4;ima parking;ne posjeduje bazen i fitness centar;ne;2;3;3;0,25;FBIH;215;da
55;apartman;7;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;4,54;RS;88;da
56;apartman;7,4;nema parking;ima bazen i fitness centar;ne;1;0;1;5,54;RS;59;ne
57;apartman;7;ima parking;ne posjeduje bazen i fitness centar;ne;2;0;1;4,54;FBIH;88;ne
58;apartman;6;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;5,01;RS;65;ne
59;apartman;9,9;nema parking;ne posjeduje bazen i fitness centar;ne;2;0;1;5,54;RS;59;ne
60;apartman;7,6;ima parking;ne posjeduje bazen i fitness centar;da;2;1;1;1,92;FBIH;132;da
61;apartman;7,7;ima parking;ne posjeduje bazen i fitness centar;da;1;0;1;3,9;FBIH;100;da
62;apartman;8;ima parking;ima bazen i fitness centar;da;2;1;2;2,24;FBIH;151;da
63;apartman;9,4;ima parking;ne posjeduje bazen i fitness centar;da;1;0;1;2,02;FBIH;121;da
64;apartman;9,4;ima parking;ne posjeduje bazen i fitness centar;da;2;1;2;2,38;FBIH;147;da
65;apartman;9,1;ima parking;ima bazen i fitness centar;da;2;2;3;0,49;FBIH;170;da
66;apartman;8,9;ima parking;ne posjeduje bazen i fitness centar;da;2;0;1;2,51;FBIH;130;da
67;hotel;9,3;ima parking;ima bazen i fitness centar;da;2;0;1;0,34;FBIH;196;da
68;apartman;9;ima parking;ne posjeduje bazen i fitness centar;ne;2;2;2;2,25;FBIH;149;da
